,4 AV/E 13 ST,5 AV/E 81 ST,5 AV/W 44 ST,EDGECOMBE AV/W 160 ST,W 165 ST/AMSTERDAM AV,5 AV/W 31 ST,5 AV/W 10 ST,MADISON AV/E 67 ST,E 25 ST/PARK AV S,MADISON AV/E 30 ST,EDGECOMBE AV/W 162 ST,MADISON AV/E 102 ST,MADISON AV/E 60  ST,ADAM C POWELL BL/WEST 119 ST,ADAM C POWELL BL/W 129 ST,ADAM C POWELL BL/W 122 ST,MADISON AV/E 49 ST,CENTRAL PK N/MALCOLM X BL,MADISON AV/E 107 ST,5 AV/EAST 109 ST,5 AV/W 35 ST,MADISON AV/E 66 ST,5 AV/E 87 ST,ADAM C POWELL BL/W 125 ST,E 8 ST/MERCER ST,MADISON AV/E 104 ST,MADISON AV/E 37 ST,5 AV/W 66 ST,5 AV/W 33 ST,ADAM C POWELL BL/W 128 ST,ADAM C POWELL BL/W 145 ST,5 AV/E 61 ST,5 AV/W 26 ST,ADAM C POWELL BL/W 139 ST,MADISON AV/E 95 ST,5 AV/E 69 ST,5 AV/E 96 ST,BROADWAY/W 168 ST,5 AV/W 52 ST,PARK AV S/E 23 ST,E 8 ST/LAFAYETTE ST,ADAM C POWELL BL/W 130 ST,5 AV/W 78 ST,5 AV/E 106 ST,5 AV/W 46 ST,MADISON AV/E 93 ST,ADAM C POWELL BL/W 137 ST,ADAM C POWELL BL/W 116 ST,ADAM C POWELL BL/W 121 ST,5 AV/E 77 ST,E 8 ST/5 AV,ADAM C POWELL BL/W 149 ST,ADAM C POWELL BL/W 142 ST,ADAM C POWELL BL/W 140 ST,5 AV/E 94 ST,PARK AV S/E 21 ST,W 155 ST/EDGECOMBE AV,MADISON AV/E 101 ST,MADISON AV/E 40  ST,MADISON AV/E 63 ST,AUDUBON AV/W 165 ST,UNION SQ E/E 15 ST,5 AV/E 84 ST,5 AV/W 23 ST,5 AV/W 13 ST,5 AV/E 98 ST,EDGECOMBE AV/W 164 ST,ADAM C POWELL BL/W 153 ST,MADISON AV/E 55  ST,MADISON AV/E 42 ST,MADISON AV/E 83 ST,5 AV/E 108 ST,ADAM C POWELL BL/W 141 ST,5 AV/W 56 ST,MADISON AV/E 81 ST,PARK AV S/E 18 ST,MADISON AV/E 74 ST,5 AV/E 104 ST,ADAM C POWELL BL/W 138 ST,5 AV/W 29 ST,E 110 ST/MADISON AV,ADAM C POWELL BL/W 147 ST,ADAM C POWELL BL/W 132 ST,MADISON AV/E 72 ST,168 ST/AUDUBON AV,MADISON AV/E 47 ST,MADISON AV/E 69 ST,5 AV/E 92 ST,MADISON AV/E 91 ST,5 AV/W 50 ST,4 AV/E 10 ST,4 AV/E 9 ST,W 166 ST/ST NICHOLAS AV,MADISON AV/E 45 ST,5 AV/W 17 ST,MADISON AV/E 106 ST,E 8 ST/UNIVERSITY PL,ADAM C POWELL BL/W 148 ST,ADAM C POWELL BL/W 133 ST,ADAM C POWELL BL/W 135 ST,ADAM C POWELL BL/W 151 ST,CENTRAL PK N/ADAM C POWELL BL,5 AV/E 102 ST,MADISON AV/E 34 ST,W 168 ST/AUDUBON AV,5 AV/E 72 ST,5 AV/W 20 ST,MADISON AV/E 57 ST,ADAM C POWELL BL/W 113 ST,MADISON AV/E 98 ST,EDGECOMBE AV/W 158 ST,MADISON AV/E 89 ST,ADAM C POWELL BL/W 112 ST,5 AV/W 59 ST,ADAM C POWELL BL/W 114 ST,5 AV/E 90 ST,ADAM C POWELL BL/W 127 ST,5 AV/W 38 ST,ADAM C POWELL BL/W 143 ST,ADAM C POWELL BL/W 120 ST,ADAM C POWELL BL/W 123 ST,5 AV/W 12 ST,ADAM C POWELL BL/W 154 ST,4 AV/E 12 ST,MADISON AV/E 77 ST,MADISON AV/E 52 ST,CENTRAL PK N/5 AV,5 AV/E 75 ST,5 AV/E 63 ST,MADISON AV/E 28 ST,MADISON AV/E 86 ST,5 AV/W 41 ST,EDGECOMBE AV/W 155 ST,Michael J. Quill Depot (MQ)
5 AV/E 94 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.186 LIMITED EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARK AV S/E 21 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94 WASHINGTON HTS BWAY-168 ST via MADISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 155 ST/EDGECOMBE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.753 LIMITED EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,
MADISON AV/E 101 ST,,,,,,,,,,,,0.137 WASHINGTON HTS BWAY-168 ST via MADISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 40  ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.163 WASHINGTON HTS BWAY-168 ST via MADISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 63 ST,,,,,,,,,,,,,,,,,,,,,,0.227 WASHINGTON HTS BWAY-168 ST via MADISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUDUBON AV/W 165 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.187 WASHINGTON HTS BWAY-168 ST via MADISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION SQ E/E 15 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.941 WASHINGTON HTS BWAY-168 ST via MADISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/E 84 ST,,0.651 LIMITED EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 23 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24 LIMITED EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 13 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.082 LIMITED EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,
5 AV/E 98 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.174 LIMITED EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDGECOMBE AV/W 164 ST,,,,,0.252 WASHINGTON HTS BWAY-168 ST via MADISON,,,,,,0.185 LIMITED EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAM C POWELL BL/W 153 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.663 WASHINGTON HTS BWAY-168 ST via MADISON,
MADISON AV/E 55  ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.177 WASHINGTON HTS BWAY-168 ST via MADISON,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 42 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.244 WASHINGTON HTS BWAY-168 ST via MADISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 83 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.297 WASHINGTON HTS BWAY-168 ST via MADISON,,,
5 AV/E 108 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.195 LIMITED EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAM C POWELL BL/W 141 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16 WASHINGTON HTS BWAY-168 ST via MADISON,,,,,,,,,,,,,,,
5 AV/W 56 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25 LIMITED EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 81 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.266 WASHINGTON HTS BWAY-168 ST via MADISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARK AV S/E 18 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243 WASHINGTON HTS BWAY-168 ST via MADISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 74 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.197 WASHINGTON HTS BWAY-168 ST via MADISON,,,,,,,,,
5 AV/E 104 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18 LIMITED EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAM C POWELL BL/W 138 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.271 LIMITED EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 29 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.197 LIMITED EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 110 ST/MADISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.183 WASHINGTON HTS BWAY-168 ST via MADISON,,,,,,,
ADAM C POWELL BL/W 147 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.786 WASHINGTON HTS BWAY-168 ST via MADISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAM C POWELL BL/W 132 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.131 LIMITED EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 72 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.163 WASHINGTON HTS BWAY-168 ST via MADISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168 ST/AUDUBON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124 LIMITED EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 47 ST,,,,,,,,,,,,,,,,,0.238 WASHINGTON HTS BWAY-168 ST via MADISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 69 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.296 WASHINGTON HTS BWAY-168 ST via MADISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/E 92 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124 LIMITED EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,
MADISON AV/E 91 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16 WASHINGTON HTS BWAY-168 ST via MADISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 50 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.342 LIMITED EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 AV/E 10 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.259 WASHINGTON HTS BWAY-168 ST via MADISON,,,,,,,,,,
4 AV/E 9 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.076 LIMITED EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 166 ST/ST NICHOLAS AV,,,,,0.293 LIMITED EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 45 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.148 WASHINGTON HTS BWAY-168 ST via MADISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 17 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33 LIMITED EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 106 ST,,,,,,,,,,,,,,,,,,,0.142 WASHINGTON HTS BWAY-168 ST via MADISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 8 ST/UNIVERSITY PL,,,,,,,,,,,,,,,,,,,,,,,,,0.159 LIMITED EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAM C POWELL BL/W 148 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.278 LIMITED EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAM C POWELL BL/W 133 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.669 WASHINGTON HTS BWAY-168 ST via MADISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAM C POWELL BL/W 135 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.169 WASHINGTON HTS BWAY-168 ST via MADISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96 LIMITED EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAM C POWELL BL/W 151 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.162 LIMITED EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,0.705 WASHINGTON HTS BWAY-168 ST via MADISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL PK N/ADAM C POWELL BL,,,,,,,,,,,,,,,,,,0.26 LIMITED EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237 WASHINGTON HTS BWAY-168 ST via MADISON,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/E 102 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.309 LIMITED EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 34 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.262 WASHINGTON HTS BWAY-168 ST via MADISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 168 ST/AUDUBON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 LIMITED EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/E 72 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175 LIMITED EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 20 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.224 LIMITED EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 57 ST,,,,,,,,,,,,,0.244 WASHINGTON HTS BWAY-168 ST via MADISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAM C POWELL BL/W 113 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.245 WASHINGTON HTS BWAY-168 ST via MADISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 98 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238 WASHINGTON HTS BWAY-168 ST via MADISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDGECOMBE AV/W 158 ST,,,,0.163 WASHINGTON HTS BWAY-168 ST via MADISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.326 LIMITED EAST VILLAGE 8 ST via 5 AV,
MADISON AV/E 89 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.217 WASHINGTON HTS BWAY-168 ST via MADISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAM C POWELL BL/W 112 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.677 LIMITED EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 59 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.339 LIMITED EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAM C POWELL BL/W 114 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.174 LIMITED EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,
5 AV/E 90 ST,,,,,,,,,,,,,,,,,,,,,,,0.281 LIMITED EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAM C POWELL BL/W 127 ST,,,,,,,,,,,,,,,0.159 WASHINGTON HTS BWAY-168 ST via MADISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 38 ST,,,,,,,,,,,,,,,,,,,,,0.258 LIMITED EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.286 to depot of M2
ADAM C POWELL BL/W 143 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165 WASHINGTON HTS BWAY-168 ST via MADISON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAM C POWELL BL/W 120 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.339 LIMITED EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
