,ST NICHOLAS AV/W 141 ST,ST NICHOLAS AV/W 151 ST,ST NICOLAS AV/FORT GEORGE HILL,AMSTERDAM AV/W 155 ST,ST NICHOLAS AV/W 153 ST,5 AV/E 84 ST,ST NICHOLAS AV/W 187 ST,ST NICHOLAS AV/W 145 ST,MADISON AV/E 102 ST,ST NICHOLAS AV/W 148 ST,5 AV/W 23 ST,W 166 ST/ST NICHOLAS AV,ST NICHOLAS AV/W 179 ST,4 AV/E 13 ST,PARK AV S/E 18 ST,ST NICHOLAS AV/W 164 ST,MADISON AV/E 60  ST,ST NICHOLAS AV/W 135 ST,MADISON AV/E 83 ST,E 110 ST/MADISON AV,MADISON AV/E 95 ST,ST NICHOLAS AV/W 178 ST,MADISON AV/E 28 ST,5 AV/W 12 ST,ST NICHOLAS AV/W 125 ST,MADISON AV/E 101 ST,MADISON AV/E 40  ST,5 AV/W 66 ST,ST NICHOLAS AV/W 144 ST,5 AV/W 41 ST,MADISON AV/E 98 ST,PARK AV S/E 23 ST,UNION SQ E/E 15 ST,MADISON AV/E 69 ST,5 AV/W 13 ST,5 AV/W 35 ST,MADISON AV/E 30 ST,5 AV/E 98 ST,ST NICHOLAS AV/W 133 ST,4 AV/E 12 ST,ST NICHOLAS AV/W 138 ST,ST NICHOLAS AV/W 181 ST,5 AV/E 61 ST,5 AV/W 29 ST,CENTRAL PK N/ADAM C POWELL BL,MADISON AV/E 77 ST,110 ST/CENTRAL PK W,MANHATTAN AV/W 119 ST,5 AV/E 104 ST,5 AV/E 90 ST,MANHATTAN AV/W 113 ST,ST NICHOLAS AV/W 137 ST,ST NICHOLAS AV/W 167 ST,MADISON AV/E 93 ST,MADISON AV/E 55  ST,5 AV/E 72 ST,MADISON AV/E 47 ST,CATHEDRAL PY/MANHATTAN AV,MADISON AV/E 34 ST,ST NICHOLAS AV/W 162 ST,MADISON AV/E 63 ST,MADISON AV/E 49 ST,CENTRAL PK N/MALCOLM X BL,ST NICHOLAS AV/W 193 ST,ST NICHOLAS AV/W 163 ST,ST NICHOLAS AV/W 192 ST,5 AV/E 77 ST,5 AV/E 102 ST,5 AV/E 94 ST,ST NICHOLAS AV/W 124 ST,MADISON AV/E 57 ST,MANHATTAN AV/W 122 ST,ST NICHOLAS AV/W 127 ST,ST NICHOLAS AV/W 147 ST,MADISON AV/E 37 ST,FT GEORGE AV/66 FORT GEORGE AV,5 AV/E 92 ST,E 8 ST/5 AV,5 AV/W 52 ST,CATHEDRAL PY/FRED DOUGLASS BL,MADISON AV/E 107 ST,5 AV/W 59 ST,ST NICHOLAS AV/W 165 ST,ST NICHOLAS AV/W 174 ST,5 AV/W 46 ST,E 8 ST/LAFAYETTE ST,5 AV/W 56 ST,5 AV/E 108 ST,MADISON AV/E 86 ST,MADISON AV/E 81 ST,ST NICHOLAS AV/W 150 ST,ST NICHOLAS AV/W 128 ST,5 AV/E 69 ST,ST NICHOLAS AV/W 142 ST,5 AV/E 75 ST,ST NICHOLAS AV/W 190 ST,ST NICHOLAS AV/W 172 ST,ST NICHOLAS AV/W 152 ST,BROADWAY/W 168 ST,MADISON AV/E 106 ST,MADISON AV/E 67 ST,MANHATTAN AV/W 114 ST,5 AV/E 106 ST,CENTRAL PK N/5 AV,MANHATTAN AV/W 112 ST,5 AV/W 50 ST,MANHATTAN AV/CATHEDRAL PY,MADISON AV/E 89 ST,5 AV/W 10 ST,ST NICHOLAS AV/W 170 ST,ST NICHOLAS AV/W 139 ST,5 AV/W 38 ST,MADISON AV/E 42 ST,MADISON AV/E 52 ST,MADISON AV/E 66 ST,ST NICHOLAS AV/W 184 ST,MADISON AV/E 45 ST,MANHATTAN AV/W 116 ST,E 25 ST/PARK AV S,ST NICHOLAS AV/W 173 ST,MANHATTAN AV/W 121 ST,4 AV/E 10 ST,5 AV/E 87 ST,5 AV/W 31 ST,AMSTERDAM AV/W 161 ST,AMSTERDAM AV/W 158 ST,5 AV/E 96 ST,MADISON AV/E 91 ST,MADISON AV/E 74 ST,5 AV/W 33 ST,ST NICHOLAS AV/W 176 ST,5 AV/E 63 ST,5 AV/W 17 ST,MADISON AV/E 104 ST,PARK AV S/E 21 ST,ST NICHOLAS AV/W 130 ST,5 AV/W 20 ST,E 8 ST/MERCER ST,FT GEORGE AV/66 FT GEORGE AV,MADISON AV/E 72 ST,5 AV/W 26 ST,W 155 ST/AMSTERDAM AV,5 AV/E 81 ST,5 AV/W 44 ST,Michael J. Quill Depot (MQ)
5 AV/E 90 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.281 EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,
MANHATTAN AV/W 113 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.246 FT GEORGE 193 ST via MADISON via ST NICH,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST NICHOLAS AV/W 137 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.326 FT GEORGE 193 ST via MADISON via ST NICH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST NICHOLAS AV/W 167 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.658 FT GEORGE 193 ST via MADISON via ST NICH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 93 ST,,,,,,,,,,,,,,,,,,,,,0.185 FT GEORGE 193 ST via MADISON via ST NICH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 55  ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.177 FT GEORGE 193 ST via MADISON via ST NICH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/E 72 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175 EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 47 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238 FT GEORGE 193 ST via MADISON via ST NICH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATHEDRAL PY/MANHATTAN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.502 EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 34 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.262 FT GEORGE 193 ST via MADISON via ST NICH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST NICHOLAS AV/W 162 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.627 EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 63 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.227 FT GEORGE 193 ST via MADISON via ST NICH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 49 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16 FT GEORGE 193 ST via MADISON via ST NICH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL PK N/MALCOLM X BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26 FT GEORGE 193 ST via MADISON via ST NICH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.447 EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST NICHOLAS AV/W 193 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.297 FT GEORGE 193 ST via MADISON via ST NICH,,,,,,
ST NICHOLAS AV/W 163 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175 FT GEORGE 193 ST via MADISON via ST NICH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST NICHOLAS AV/W 192 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.487 EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/E 77 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205 EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/E 102 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.309 EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/E 94 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.186 EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST NICHOLAS AV/W 124 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.254 FT GEORGE 193 ST via MADISON via ST NICH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 57 ST,,,,,,,,,,,,,,,,,0.244 FT GEORGE 193 ST via MADISON via ST NICH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANHATTAN AV/W 122 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.241 EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST NICHOLAS AV/W 127 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237 FT GEORGE 193 ST via MADISON via ST NICH,,,,,,,,,
ST NICHOLAS AV/W 147 ST,,0.604 FT GEORGE 193 ST via MADISON via ST NICH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 37 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215 FT GEORGE 193 ST via MADISON via ST NICH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FT GEORGE AV/66 FORT GEORGE AV,,,0.056 EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/E 92 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124 EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 8 ST/5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.342 EAST VILLAGE 8 ST via 5 AV,,,,,,,
5 AV/W 52 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATHEDRAL PY/FRED DOUGLASS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.138 FT GEORGE 193 ST via MADISON via ST NICH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 107 ST,,,,,,,,,,,,,,,,,,,,0.2 FT GEORGE 193 ST via MADISON via ST NICH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 59 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.339 EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST NICHOLAS AV/W 165 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2 FT GEORGE 193 ST via MADISON via ST NICH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST NICHOLAS AV/W 174 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 46 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17 EAST VILLAGE 8 ST via 5 AV,
E 8 ST/LAFAYETTE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.131 EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 56 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25 EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/E 108 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.195 EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 86 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.272 FT GEORGE 193 ST via MADISON via ST NICH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 81 ST,,,,,,,,,,,,,,,,,,,0.266 FT GEORGE 193 ST via MADISON via ST NICH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST NICHOLAS AV/W 150 ST,,,,,,,,,,0.538 EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST NICHOLAS AV/W 128 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.241 EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/E 69 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.309 EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST NICHOLAS AV/W 142 ST,0.126 EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/E 75 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.275 EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST NICHOLAS AV/W 190 ST,,,,,,,0.236 EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.251 FT GEORGE 193 ST via MADISON via ST NICH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST NICHOLAS AV/W 172 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.358 EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST NICHOLAS AV/W 152 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.276 EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROADWAY/W 168 ST,,,,,,,,,,,,0.245 EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 106 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.142 FT GEORGE 193 ST via MADISON via ST NICH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 67 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172 FT GEORGE 193 ST via MADISON via ST NICH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANHATTAN AV/W 114 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.176 EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/E 106 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.145 EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL PK N/5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.317 FT GEORGE 193 ST via MADISON via ST NICH,,,,,,,,,,,,,,,,,,,,,,,,,0.25 EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANHATTAN AV/W 112 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165 EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 AV/W 50 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.342 EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANHATTAN AV/CATHEDRAL PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.245 FT GEORGE 193 ST via MADISON via ST NICH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON AV/E 89 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.217 FT GEORGE 193 ST via MADISON via ST NICH,,,,,,,,,,,,,,,,,
5 AV/W 10 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.151 EAST VILLAGE 8 ST via 5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST NICHOLAS AV/W 170 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.398 FT GEORGE 193 ST via MADISON via ST NICH,,,,,,,,,,,,,,,,,,,,,,,,,
ST NICHOLAS AV/W 139 ST,0.162 FT GEORGE 193 ST via MADISON via ST NICH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
