,3 AV/E 75 ST,LEXINGTON AV/E 92 ST,LEXINGTON AV/E 116 ST,W 116 ST/5 AV,MALCOLM X BL/W 127 ST,3 AV/E 69 ST,3 AV/E 60 ST,LEXINGTON AV/E 28 ST,LEXINGTON AV/E 34 ST,LEXINGTON AV/E 96 ST,3 AV/E 67 ST,MALCOLM X BL/W 142 ST,LEXINGTON AV/E 31 ST,LEXINGTON AV/E 59 ST,LEXINGTON AV/E 72 ST,LEXINGTON AV/E 79 ST,MALCOLM X BL/W 137 ST,E 116 ST/MADISON AV,LEXINGTON AV/E 104 ST,MALCOLM X BL / W 116 ST,LEXINGTON AV/E 114 ST,EAST 24 ST/LEXINGTON AV,3 AV/E 9 ST,LEXINGTON AV/E 42 ST,LEXINGTON AV/E 98 ST,3 AV/E 21 ST,3 AV/E 93 ST,MALCOLM X BL/W 125 ST,3 AV/E 109 ST,3 AV/E 23 ST,3 AV/E 50 ST,LEXINGTON AV/E 37 ST,E 116 ST/PARK AV,3 AV/E 97 ST,MALCOLM X BL/W 129 ST,3 AV/E 14 ST,LEXINGTON AV/E 94 ST,LEXINGTON AV/E 64 ST,3 AV/E 57 ST,3 AV/E 104 ST,3 AV/E 65 ST,MALCOLM X BL/W 132 ST,MALCOLM X BL/W 119 ST,ASTOR PL/3 AV,E 116 ST/3 AV,3 AV/E 39 ST,LEXINGTON AV/E 52 ST,LEXINGTON AV/E 83 ST,LEXINGTON AV/E 77 ST,3 AV/E 99 ST,LEXINGTON AV/E 49 ST,3 AV/E 77 ST,3 AV/E 112 ST,3 AV/E 63 ST,3 AV/E 88 ST,E 116 ST/LEXINGTON AV,E 116 ST/5 AV,W 147 ST/MALCOLM X BL,3 AV/E 106 ST,3 AV/E 42 ST,LEXINGTON AV/E 26 ST,3 AV/E 72 ST,3 AV/E 102 ST,LEXINGTON AV/E 86 ST,3 AV/E 20 ST,LEXINGTON AV/E 47 ST,MALCOLM X BL/W 139 ST,LEXINGTON AV/E 40 ST,3 AV/E 31 ST,W 146 ST/MALCOLM X  BLVD,MALCOLM X BL/W 122 ST,LEXINGTON AV/E 62 ST,LEXINGTON AV/E 70 ST,3 AV/E 82 ST,3 AV/E 53 ST,MALCOLM X B / W 119 ST,W 116 ST/MALCOLM X BL,3 AV/E 47 ST,MALCOLM X BL/W 135 ST,LEXINGTON AV/E 100 ST,3 AV/E 17 ST,LEXINGTON AV/E 110 ST,LEXINGTON AV/E 106 ST,LEXINGTON AV/E 89 ST,3 AV/ASTOR PL,3 AV/E 26 ST,3 AV/E 33 ST,3 AV/E 11 ST,W 147 ST/ADAM C POWELL BL,3 AV/E 37 ST,LEXINGTON AV/E 74 ST,W 146 ST/MALCOLM X BL,3 AV/E 45 ST,LEXINGTON AV/E 50 ST,3 AV/E 79 ST,3 AV/E 91 ST,LEXINGTON AV/E 68 ST,LEXINGTON AV/E 56 ST,MALCOLM X BL/W 145 ST,3 AV/E 29 ST,LEXINGTON AV/E 102 ST,LEXINGTON AV/E 45 ST,3 AV/E 86 ST,MALCOLM X BL/W 124 ST,Michael J. Quill Depot (MQ)
3 AV/E 20 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.763 EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 47 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.122 EAST VILLAGE 6 ST via LEX AV,,,
MALCOLM X BL/W 139 ST,,,,,,,,,,,,0.249 HARLEM 147 ST via 3 AV,,,,,0.17 EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 40 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.179 EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 31 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.758 HARLEM 147 ST via 3 AV,,,,,,,,,,,,,,,,,,
W 146 ST/MALCOLM X  BLVD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033 EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,
MALCOLM X BL/W 122 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26 HARLEM 147 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.273 EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 62 ST,,,,,,,,,,,,,,0.186 EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 70 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205 EAST VILLAGE 6 ST via LEX AV,,,,,,,,
3 AV/E 82 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.254 HARLEM 147 ST via 3 AV,,
3 AV/E 53 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.284 HARLEM 147 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALCOLM X B / W 119 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.277 EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 116 ST/MALCOLM X BL,,,,0.253 EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 47 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.197 HARLEM 147 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALCOLM X BL/W 135 ST,,,,,,,,,,,,,,,,,0.172 HARLEM 147 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,0.263 EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 100 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.15 EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 17 ST,,,,,,,,,,,,,,,,,,,,,,,,,,1.787 HARLEM 147 ST via 3 AV,,,,,,,,,,1.247 EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 110 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.318 EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 106 ST,,,,,,,,,,,,,,,,,,,0.668 EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 89 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.251 EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/ASTOR PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007 EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 26 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.883 HARLEM 147 ST via 3 AV,,,,,
3 AV/E 33 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.912 HARLEM 147 ST via 3 AV,,,,,,,,,,,,,,,
3 AV/E 11 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25 HARLEM 147 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231 EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,
W 147 ST/ADAM C POWELL BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.336 HARLEM 147 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 37 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.225 HARLEM 147 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 74 ST,,,,,,,,,,,,,,,0.518 EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 146 ST/MALCOLM X BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.439 EAST VILLAGE 6 ST via LEX AV,,,,,,
3 AV/E 45 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.201 HARLEM 147 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 50 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.113 EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 79 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.282 HARLEM 147 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 91 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.179 HARLEM 147 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 68 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.776 EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 56 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.273 EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALCOLM X BL/W 145 ST,,,,,,,,,,,,0.269 EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168 HARLEM 147 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 29 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11 HARLEM 147 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 102 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.117 EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,
LEXINGTON AV/E 45 ST,,,,,,,,,,,,,,,,,,,,,,,,0.244 EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 86 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.256 HARLEM 147 ST via 3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALCOLM X BL/W 124 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael J. Quill Depot (MQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.317 EAST VILLAGE 6 ST via LEX AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
